stop_id,stop_name,stop_lat,stop_lon
1100094,"Ibach (D), Unteribach Kirche",47.73426916455,8.068164826526
1100095,"Ibach (D), Sägewerk",47.743572704101,8.060008123745
1100096,"Ibach (D), Schaltenbuck",47.74389286126,8.051213617112
1100097,"Schopfheim, Busbahnhof",47.647854220548,7.821415584249
1100098,"Schopfheim, Friedhof",47.648023671199,7.815073478342
1100099,Gündenhausen,47.64746690271,7.80406911611
1100100,"Maulburg, Firma Busch",47.647557680586,7.787683845326
1100101,"Maulburg, Blostweg",47.645469749523,7.784216348329
1100102,"Maulburg, Bahnhof",47.644640605921,7.781368688878
1100103,"Maulburg, Rathaus",47.641329952473,7.779176799584
1100104,"Maulburg, Berghöfe",47.627800696637,7.771756715336
1100105,"St. Blasien, Busbahnhof",47.761136153059,8.127103292325
1100106,"St. Blasien, Schwimmbad",47.768913393126,8.119997618426
1100107,"St. Blasien, Glashof",47.782617344362,8.098429068452
1100108,"Minseln, Schlossstrasse",47.608599486785,7.780317659995
1100109,"Minseln, Adler",47.60751538609,7.784988899473
1100110,"Minseln, Feuerwehrhaus",47.603112131634,7.79066625207
1100111,"Menzenschwand, Abzw M. Brücke",47.792328662625,8.083463135816
1100112,"Bernau (Schw), Weierle Strasse",47.79451934311,8.069278737478
1100113,"Bernau (Schw), Weierle",47.808463906525,8.033534772318
1100114,Unterlehen (Schw),47.791586344983,8.06217306358
1100115,"Bernau (Schw), Gass",47.797005623392,8.058364206774
1100116,"Oberlehen (Schw), Thomahaus",47.788248802144,8.047054417346
1100117,"Bernau (Schw), Schwendele",47.805881638899,8.010142642316
1100118,"Innerlehen (Schw), Rathaus",47.802345896033,8.034271390851
1100119,"Bernau (Schw), Altenrond",47.79775389805,8.052102949243
1100120,Riggenbach (Schw),47.801567517586,8.046138135756
1100121,"Riggenbach (Schw), Haus Kaiser",47.802128675314,8.049946992561
1100122,"Menzenschwand, Mitteldorf",47.823960847691,8.07089570499
1100123,"Menzenschwand, Vorderdorf",47.817488767943,8.070159086457
1100124,"Menzenschwand, Hinterdorf",47.829268195321,8.070033322317
1100125,"Bernau (Schw), Poche",47.807263288714,8.021641077955
1100126,"Bernau (Schw), Goldbach",47.79578663676,8.067158713407
1100127,"Rheinfelden (D), Haberbusch",47.563878347613,7.779563075156
1100128,"Nollingen, Holbeinstrasse",47.567545452365,7.776931011373
1100129,"Nollingen, Hebelhalle",47.570406221931,7.774757088386
1100130,"Nollingen, Dürerstrasse",47.573345621108,7.77357131221
1100131,"Nollingen, Sonne",47.573060779335,7.770121781519
1100132,"Degerfelden, Wolfsgraben",47.570097120885,7.756135012543
1100133,"Herrenschwand, Ort",47.767657520043,7.953036739697
1100134,"Herrenschwand, Milchhäusle",47.775687339373,7.967661312524
1100135,"Degerfelden, Sägemühle",47.577751380566,7.731619988436
1100136,"Degerfelden, Hagenbach",47.588524839742,7.728583682775
1100137,"Inzlingen, Waidhof",47.600513613636,7.702649320519
1100138,"Lörrach, Ufhabiweg",47.60968962125,7.675080024446
1100139,"Lörrach, Wallbrunnstrasse",47.609768352304,7.670211155605
1100140,"Lörrach, Engelplatz",47.61030129786,7.665162623708
1100141,"Lörrach, Kinderspielplatz",47.613141563822,7.666572978704
1100142,"Lörrach, Untereckstrasse",47.616181507003,7.670058442007
1100143,"Endenburg, Rathaus",47.713027909624,7.736192413233
1100144,"Endenburg, Schule",47.712217972041,7.743280120826
1100145,Kirchhausen (Kr LÖ),47.713656509222,7.756458406046
