stop_id_a,stop_id_b,distance,duration
8501118:0:2,8588838,190.5131003638811,136.0807859742008
8501118:0:2,8501118:0:3,3.4385503410312843,2.4561073864509173
8501118:0:2,8530749,260.72189728698754,186.22992663356254
8501118:0:2,8592209,488.924098999771,349.23149928555074
8501118:0:2,8588983,131.38762702026682,93.84830501447631
8501118:0:2,8593866,331.3986137612731,236.71329554376652
8501118:0:2,8501118:0:4,11.443304837915909,8.173789169939935
8501118:0:2,8592202,300.32805303924727,214.52003788517663
8501118:0:2,8588839,353.1561830343373,252.2544164530981
8501118:0:2,8592213,439.09387453618524,313.6384818115609
8501118:0:2,Parent8501118,179.0481571916327,127.89154085116623
8501118:0:2,8501118:0:1,8.3937448259399,5.9955320185285
8501118:0:2,8501118:0:5,16.78746102620018,11.991043590142986
8501118:0:2,8593869,338.35647808128664,241.68319862949048
8501120,8501181,455.45932230844306,325.32808736317367
8501120,8592079,329.34771202661466,235.2483657332962
8501120,Parent8592050,99.94659766383788,71.39042690274134
8501120,8501120:0:8,0.0,0.0
8501120,8579254,441.9736823734126,315.69548740958044
8501120,8592040,282.95106685332337,202.107904895231
8501120,8501120:0:3,0.0,0.0
8501120,Parent8501120,0.0,0.0
8501120,8501120:0:5,0.0,0.0
8501120,8592050:0:F,236.69824455654833,169.0701746832488
8501120,8592050:0:H,99.94659766383788,71.39042690274134
8501120,8501120:0:6,0.0,0.0
8501120,8592050:0:C,99.94659766383788,71.39042690274134
8501120,8501120:0:70,0.0,0.0
8501120,8592027,361.2935058481269,258.06678989151925
8501120,8591818,406.4659901142583,290.3328500816131
8501120,8579253,336.76486751255374,240.5463339375384
8501120,8592050,99.94659766383788,71.39042690274134
8501120,8592020,339.2496644496131,242.32118889258078
8501120,8501181:0:2,455.45932230844306,325.32808736317367
8501120,8592052,208.1857499332524,148.7041070951803
8501120,8592050:0:D,99.94659766383788,71.39042690274134
8501120,8592072,437.9573793530133,312.82669953786666
8501120,8501181:0:1,455.45932230844306,325.32808736317367
8501120,Parent8501181,455.45932230844306,325.32808736317367
8501120,8501120:0:7,0.0,0.0
8501120,8501120:0:4,0.0,0.0
8501120,8501120:0:1,0.0,0.0
8501181,8501120,455.459322308412,325.3280873631515
8501181,Parent8592050,359.0907269445894,256.49337638899243
8501181,8501120:0:8,455.459322308412,325.3280873631515
8501181,8501160:0:2,424.9326132893771,303.523295206698
8501181,8579254,289.16968521399843,206.54977515285603
8501181,8501120:0:3,455.459322308412,325.3280873631515
8501181,Parent8501120,455.459322308412,325.3280873631515
8501181,8501120:0:5,455.459322308412,325.3280873631515
8501181,Parent8501160,424.9326132893771,303.523295206698
8501181,8592050:0:F,422.5634046763194,301.83100334022816
8501181,8592050:0:H,359.0907269445894,256.49337638899243
8501181,8501120:0:6,455.459322308412,325.3280873631515
8501181,8592050:0:C,359.0907269445894,256.49337638899243
8501181,8592133,498.9078983094969,356.3627845067835
8501181,8501120:0:70,455.459322308412,325.3280873631515
8501181,8592098,290.92217529103345,207.80155377930961
8501181,8591818,53.90890794038297,38.50636281455927
8501181,8591988,191.4153451248237,136.72524651773122
8501181,8579253,123.02518605594845,87.87513289710604
8501181,8590442,284.125675090792,202.94691077913717
8501181,8592050,359.0907269445894,256.49337638899243
8501181,8501181:0:2,0.0,0.0
8501181,8592050:0:D,359.0907269445894,256.49337638899243
8501181,8592125,423.2974392668936,302.3553137620669
8501181,8501181:0:1,0.0,0.0
8501181,Parent8501181,0.0,0.0
8501181,8592011,407.5651103351319,291.11793595366566
8501181,8501160,424.9326132893771,303.523295206698
8501181,8501120:0:7,455.459322308412,325.3280873631515
8501181,8501160:0:1,424.9326132893771,303.523295206698
8501181,8501120:0:4,455.459322308412,325.3280873631515
8501181,8501120:0:1,455.459322308412,325.3280873631515
8501216,8591961,460.6168082448912,329.012005889208
8501216,8591960,420.92759226117147,300.6625659008368
8501216,8593867,454.3741690892942,324.55297792092443
8501216,8501215,382.51429261375745,273.2244947241125
8501216,8591951,435.2237119200385,310.8740799428847
8501216,8591946,469.93825671763994,335.67018336974286
8501216,8588873,229.65644281698536,164.0403162978467
8587357,8592055,278.6085677459993,199.00611981857097
8587357,8592063,403.5472330627432,288.2480236162452
8587357,8595004,275.8966422022365,197.06903014445464
8587357,8592089,247.69762641041825,176.92687600744162
8587357,8592047,375.83811454805294,268.45579610575214
8587357,8592092,362.54061122202637,258.95757944430454
8588438,8579260,217.10035061014506,155.07167900724647
8588438,8592161,261.48561154188883,186.7754368156349
8588442,8588445,388.18973892269906,277.27838494478505
8588442,8588443,202.03658185242588,144.3118441803042
8588442,8592198,436.9276670088091,312.09119072057797
8588442,8588445:0:B,359.59438697343955,256.8531335524568
8588442,Parent8588445,388.18973892269906,277.27838494478505
8588442,8501121:0:2,409.07460557585546,292.19614683989676
8588442,8588445:0:D,346.37299550327555,247.4092825023397
8588442,8592172,469.9015084013194,335.64393457237105
8588442,8501121:0:1,392.3022548441072,280.21589631721946
8588442,8588440,349.1277687954496,249.37697771103544
8588442,8592188,469.36432902008255,335.2602350143447
8588442,8588441,269.39212151289684,192.42294393778346
8588442,8592182,137.37553585289245,98.12538275206605
8588442,Parent8501121,462.53147322490986,330.37962373207847
8591963,8591969,283.0386265632108,202.17044754515058
8591963,8591962,291.14127701365794,207.9580550097557
8591963,8591967,305.61554656549345,218.29681897535247
8591969,8591963,283.0386265631919,202.17044754513708
8591969,8591962,345.5875437960291,246.8482455685922
8591976,Parent8504010,36.530884726779746,26.093489090556965
8591976,8592149,172.0159356130323,122.86852543788022
